query	no	token	pos
전주 여행	1	추천	NNG
전주 여행	1	아요	EF
전주 여행	1	추억	NNG
전주 여행	1	7080	SN
전주 여행	1	다양	NNG
전주 여행	1	체험	NNG
전주 여행	1	7080	SN
전주 여행	1	감성	NNG
전주 여행	1	추억	NNG
전주 여행	1	테마	NNG
전주 여행	1	박물관	NNG
전주 여행	1	유익	NNG
전주 여행	1	시간	NNG
전주 여행	1	전북	NNP
전주 여행	1	전북	NNP
전주 여행	1	투어	NNG
전주 여행	1	패스	NNG
전주 여행	1	통합	NNG
전주 여행	1	용권	NNG
전주 여행	1	전북	NNP
전주 여행	1	여러	MM
전주 여행	1	여행지	NNG
전주 여행	1	다양	NNG
전주 여행	1	체험	NNG
전주 여행	1	카페이	NNP
전주 여행	1	용추	NNG
전주 여행	1	필수	NNG
전주 여행	1	편안	NNG
전주 여행	1	즐거운	VA+ETM
전주 여행	1	바라	VV
전주 여행	1	습니다	EF
전주 여행	1	감사	NNG
전주 여행	1	합니다	XSV+EC
전주 여행	2	갈려고	VV+EC
전주 여행	2	는데요	EF
전주 여행	2	갈려고	VV+EC
전주 여행	2	는데요	EC
전주 여행	2	사람	NNG
전주 여행	2	갈려고	VV+EC
전주 여행	2	는데	EC
전주 여행	2	호텔	NNG
전주 여행	2	가격	NNG
전주 여행	2	정했	VV+EP
전주 여행	2	인데	VCP+EC
전주 여행	2	얼마	NNG
전주 여행	2	정도	NNG
전주 여행	2	을까요	EF
전주 여행	2	그리고	MAJ
전주 여행	2	맛집	NNG
전주 여행	2	카페	NNG
전주 여행	2	추천	NNG
전주 여행	2	세요	EP+EF
전주 여행	2	안녕	IC
전주 여행	2	세요	EP+EF
전주 여행	2	계획	NNG
전주 여행	2	네요	EF
전주 여행	2	한옥	NNG
전주 여행	2	마을	NNG
전주 여행	2	근처	NNG
전주 여행	3	관련	NNG
전주 여행	3	질문	NNG
전주 여행	3	계획	NNG
전주 여행	3	계시	VX
전주 여행	3	다니	EC
전주 여행	3	정말	MAG
전주 여행	3	선택	NNG
전주 여행	3	네요	EF
전주 여행	3	한옥마을	NNP
전주 여행	3	함께	MAG
전주 여행	3	멋진	VA+ETM
전주 여행	3	자연	NNG
전주 여행	3	경관	NNG
전주 여행	3	맛있	VA
전주 여행	3	음식	NNG
전주 여행	3	가득	MAG
전주 여행	3	동네	NNG
전주 여행	3	정말	MAG
전주 여행	3	즐거운	VA+ETM
전주 여행	3	시간	NNG
전주 여행	3	보낼	VV+ETM
전주 여행	3	예요	VCP+EF
전주 여행	3	우선	MAG
전주 여행	3	한옥	NNG
전주 여행	3	마을	NNG
전주 여행	3	근처	NNG
전주 여행	3	에서	JKB
전주 여행	3	장소	NNG
전주 여행	4	여학생	NNG
전주 여행	4	친구	NNG
전주 여행	4	안녕	NNG
전주 여행	4	세요	EP+EF
전주 여행	4	15	SN
전주 여행	4	여학생	NNG
전주 여행	4	입니다	VCP+EF
전주 여행	4	친한	VA+ETM
전주 여행	4	친구	NNG
전주 여행	4	는데	EC
전주 여행	4	어디	NP
전주 여행	4	할지	VX+EC
전주 여행	4	몰라서	VV+EC
전주 여행	4	너무	MAG
전주 여행	4	막막	XR
전주 여행	4	합니다	XSA+EF
전주 여행	4	저희	NP
전주 여행	4	일본	NNP
전주 여행	4	애니	NNP
전주 여행	4	너무	MAG
전주 여행	4	는데	EC
전주 여행	4	오타쿠	NNP
전주 여행	4	갈만	NNG
전주 여행	4	을까요	EC
전주 여행	4	제발	MAG
전주 여행	4	알려	VV+EC
전주 여행	4	세요	EP+EF
전주 여행	5	부모	NNG
전주 여행	5	모시	VV
전주 여행	5	부모	NNG
전주 여행	5	모시	VV
전주 여행	5	려는데	EC
전주 여행	5	명소	NNG
전주 여행	5	식당	NNG
전주 여행	5	추천	NNG
전주 여행	5	부탁	NNG
전주 여행	5	드립니다	VV+EC
전주 여행	5	한옥마을	NNP
전주 여행	5	유명	XR
전주 여행	5	완산구	NNP
전주 여행	5	으며	EC
전주 여행	5	덕진구	NNP
전주 여행	5	또한	MAJ
전주 여행	5	멋진	VA+ETM
전주 여행	5	추억	NNG
전주 여행	5	가진	VV+ETM
전주 여행	5	장소	NNG
전주 여행	5	많이	MAG
전주 여행	6	이번	NNG
전주 여행	6	여자	NNG
전주 여행	6	친구	NNG
전주 여행	6	는데	EC
전주 여행	6	경로	NNG
전주 여행	6	알려	VV+EC
전주 여행	6	세요	EP+EF
전주 여행	6	토요일	NNG
전주 여행	6	온다고	VV+EC
전주 여행	6	는데	EC
전주 여행	6	실내	NNG
전주 여행	6	데이트	NNG
전주 여행	6	가능	NNG
전주 여행	6	알려	VV+EC
전주 여행	6	감사	NNG
전주 여행	6	습니다	EF
전주 여행	6	숙소	NNG
전주 여행	6	한옥	NNG
전주 여행	6	마을	NNG
전주 여행	6	근처	NNG
전주 여행	6	습니다	EF
전주 여행	6	한옥마을	NNP
전주 여행	6	구경	NNG
전주 여행	7	저녁	NNG
전주 여행	7	주천	NNG
전주 여행	7	산책	NNG
전주 여행	7	따라	VV+EC
전주 여행	7	거나	EC
전주 여행	7	한옥	NNG
전주 여행	7	마을	NNG
전주 여행	7	근처	NNG
전주 여행	7	에서	JKB
전주 여행	7	야경	NNG
전주 여행	7	즐기	VV
전주 여행	7	너무	MAG
전주 여행	7	답니다	EF
전주 여행	7	혹시	MAG
전주 여행	7	일정	NNG
전주 여행	7	이나	JC
전주 여행	7	관심	NNG
전주 여행	7	테마	NNG
전주 여행	7	사진	NNG
전주 여행	7	카페	NNG
전주 여행	7	체험	NNG
전주 여행	7	알려	VV+EC
전주 여행	7	맞춤	VV+EC
전주 여행	7	추천	NNG
전주 여행	7	드릴	VX+ETM
전주 여행	7	어요	EF
전주 여행	7	즐거운	VA+ETM
전주 여행	7	바랄	VV+ETM
전주 여행	7	게요	NNB+VCP+EC
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	~!	SY
전주 여행	8	영화제	NNG
전주 여행	8	기간	NNG
전주 여행	8	일정	NNG
전주 여행	8	으로	JKB
전주 여행	8	볼까	EC+VX+EC
전주 여행	8	해서	VV+EC
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	세요	EP+EF
전주 여행	8	어차피	MAG
전주 여행	8	주목적	NNG
전주 여행	8	전주국	NNG
전주 여행	8	영화제	NNG
전주 여행	8	니까	VCP+EC
전주 여행	8	둘러보	VV
전주 여행	8	에요	VCP+EF
전주 여행	8	그냥	MAG
전주 여행	8	알짜배기	NNG
전주 여행	8	추천	NNG
전주 여행	9	주로	MAG
전주 여행	9	커플	NNG
전주 여행	9	려고	EC
전주 여행	9	는데	EC
전주 여행	9	추천	NNG
전주 여행	9	세요	EP+EF
전주 여행	9	숙소	NNG
전주 여행	9	거리	NNG
전주 여행	9	맛집	NNG
전주 여행	9	등등	NNB
전주 여행	9	추천	NNG
전주 여행	9	감사	NNG
전주 여행	9	습니다	EF
전주 여행	9	한옥마을	NNP
전주 여행	9	겁니다	NNB+VCP+EF
전주 여행	9	답변	NNG
전주 여행	9	도움	NNG
전주 여행	9	으면	EC
전주 여행	9	습니다	EF
전주 여행	9	한옥마을	NNP
전주 여행	9	한옥마을	NNP
전주 여행	9	맛집	NNG
전주 여행	9	거리	EC
전주 여행	9	추천	NNG
전주 여행	10	추석	NNG
전주 여행	10	16	SN
전주 여행	10	18	SN
전주 여행	10	려고	EC
전주 여행	10	는데	EC
전주 여행	10	그때	NNG
전주 여행	10	한옥마을	NNP
전주 여행	10	관광지	NNG
전주 여행	10	을까요	EC
전주 여행	10	추석	NNG
전주 여행	10	당일	NNG
전주 여행	10	습니다	EF
전주 여행	10	에도	NNP
전주 여행	10	이벤트	NNG
전주 여행	10	진행	NNG
전주 여행	10	입니다	VCP+EC
전주 여행	10	27	SN
전주 여행	10	10	SN
전주 여행	10	13	SN
전주 여행	10	한국	NNP
전주 여행	10	관광공사	NNP
전주 여행	10	에서	JKB
전주 여행	10	숙박	NNG
전주 여행	10	세일	NNG
전주 여행	10	페스타	NNP
전주 여행	10	이벤트	NNG
전주 여행	10	진행	NNG
전주 여행	10	입니다	VCP+EC
전주 여행	11	연령	NNG
전주 여행	11	렌트카	NNG
전주 여행	11	추천	NNG
전주 여행	11	이번	NNG
전주 여행	11	21	SN
전주 여행	11	으로	JKB
전주 여행	11	19	SN
전주 여행	11	입니다	VCP+EF
전주 여행	11	연령	NNG
전주 여행	11	자동차	NNG
전주 여행	11	추천	NNG
전주 여행	11	부탁	NNG
전주 여행	11	드리	VV
전주 여행	11	습니다	EF
전주 여행	11	그리고	MAJ
전주 여행	11	가격	NNG
전주 여행	11	렌트	NNG
전주 여행	11	어느	MM
전주 여행	11	정도	NNG
전주 여행	11	나올까요	VV+EF
전주 여행	11	에서	JKB
전주 여행	11	21	SN
전주 여행	11	이상	NNG
전주 여행	11	렌트	NNG
전주 여행	11	가능	NNG
전주 여행	11	자동차	NNG
전주 여행	11	찾아보	VV
전주 여행	11	세요	EP+EF
전주 여행	11	가격	NNG
전주 여행	12	포항	NNP
전주 여행	12	에서	JKB
전주 여행	12	포항	NNP
전주 여행	12	까지	JX
전주 여행	12	기차	NNG
전주 여행	12	을까요	EC
전주 여행	12	버스	NNG
전주 여행	12	을까요	EC
전주 여행	12	안녕	NNG
전주 여행	12	세요	EP+EF
전주 여행	12	에서	JKB
전주 여행	12	포항	NNP
전주 여행	12	까지	JX
전주 여행	12	기차	NNG
전주 여행	12	버스	NNG
전주 여행	12	각각	MAG
전주 여행	12	장단점	NNG
전주 여행	12	으므로	EC
전주 여행	12	어떤	MM
전주 여행	12	방법	NNG
전주 여행	12	은지	EC
